pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_trandep,pl_trandur,pl_ratror,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum_x,st_logg,st_age,st_dens,decstr,dec,sy_dist,pl_type,IST,SPH,HZD,HZC,HZA,pClass,hClass,PHI,is_pot_livable,st_class,st_chz_inn_edge (AU),st_chz_out_edge (AU),st_lum_y,st_chz_width,st_chz_inn_edge (ls),st_chz_out_edge (ls),pl_orb_is_in_CHZ,pl_orb_prc_in_cCHZ,pl_orb_prc_in_cCHZ,OHZIN,CHZIN,CHZOUT,OHZOUT
61 Vir d,61 Vir,1,3,0,Radial Velocity,123.01,0.476,,,22.9,0.072,,0.35,,,,,,,,G5 V,5577.0,0.96,0.94,-0.01,[Fe/H],-0.095,4.34,8.96,,-18d18m56.79s,-18.3157745,8.50332,neptune-like,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,0.0,0.0,0.681,0.862,1.529,1.613
7 CMa b,7 CMa,1,2,0,Radial Velocity,764.6999999999999,1.8626666666666665,,,732.0490999999998,2.3033333333333332,,0.14,,,90.0,,,,,K1 III,4804.173333333333,4.026666666666667,1.4300000000000002,0.149,"['[M/H]', '[Fe/H]']",1.0579999999999998,3.2199999999999998,4.3,,-19d15m22.25s,-19.2561808,19.8101,gas giant,,,,,,,,,,K1,0.5,0.79,0.28,0.3,248.21,396.07,False,0.0,0.0,2.684,3.4,6.198,6.537
7 CMa c,7 CMa,1,2,0,Radial Velocity,996.0,2.153,,,276.5121,0.87,,0.08,,,90.0,,,,,,4826.0,4.87,1.34,0.21,[Fe/H],1.063,3.19,4.3,,-19d15m22.25s,-19.2561808,19.8101,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,2.684,3.4,6.198,6.537
70 Vir b,70 Vir,1,1,0,Radial Velocity,116.69026999999998,0.4755,,,2315.67721,7.285999999999999,,0.3990666666666667,,,,2455656.682,,,,,5498.372,1.8975,1.1,-0.0505,[Fe/H],0.451,3.9560000000000004,7.885,,+13d46m34.71s,13.7763085,17.9011,gas giant,,,,,,,,,,,,,,,,,False,0.0,0.0,1.305,1.653,2.939,3.099
75 Cet b,75 Cet,2,1,0,Radial Velocity,691.9,2.1,,,953.49,3.0,,0.117,,,,,,,,G3 III,4846.0,10.5,2.49,0.0,[Fe/H],1.73,2.63,,,-01d02m06.10s,-1.0350269,82.9613,gas giant,,,,,,,,,,G3,,,,,,,False,0.0,0.0,5.781,7.322,13.335,14.065
8 UMi b,8 UMi,1,1,0,Radial Velocity,93.4,0.49,,,446.55115,1.405,,0.06,,,,,,,,K0,4847.2,10.100000000000001,1.62,-0.03,[Fe/H],,2.57,1.7,,+74d54m03.38s,74.9009379,162.552,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,0.0,0.0,5.719,7.244,13.192,13.915
81 Cet b,81 Cet,1,1,0,Radial Velocity,952.7,2.335,,,1479.4,4.654999999999999,,0.206,,,,,,,,G5 III,4785.0,11.0,2.0,-0.06,[Fe/H],1.778,2.35,,,-03d23m46.90s,-3.3963607,101.26,gas giant,,,,,,,,,,G5,0.78,1.25,0.69,0.47,389.63,621.76,False,0.0,0.0,6.125,7.759,14.166,14.942
91 Aqr b,91 Aqr,3,1,0,Radial Velocity,181.4,0.7,,,1017.0,3.2,,0.027,,,,,,,,K0 III,4665.0,11.0,1.4,-0.03,[Fe/H],,2.52,3.56,,-09d05m16.11s,-9.0878076,44.0304,gas giant,,,,,,,,,,K0,0.55,0.87,0.34,0.33,273.51,436.45,False,0.0,0.0,5.701,7.221,13.254,13.98
AB Pic b,AB Pic,1,1,0,Imaging,,260.0,,,4290.5,13.5,,,,,,,,,,K2 V,,,,,,,,0.03,,-58d03m14.83s,-58.0541184,50.0475,gas giant,,,,,,,,,,K2,0.43,0.69,0.21,0.26,214.95,343.01,False,,,,,,
AU Mic b,AU Mic,1,2,0,Transit,8.463104999999999,0.06525,4.1365,0.369,37.1047,0.116745,2.9000000000000004,0.05,,593.0,89.5,2458330.39102,,3.5,0.0505,,3700.0,0.75,0.5,,,-1.046,,0.022,,-31d20m32.82s,-31.34245,9.7221,neptune-like,,,,,,,,,,,,,,,,,False,0.0,0.0,0.251,0.318,0.611,0.645
