pl_name,pl_type
Kepler-1458 b,neptune-like
Kepler-145 b,neptune-like
Kepler-1462 b,neptune-like
Kepler-1467 b,neptune-like
Kepler-1469 b,neptune-like
Kepler-146 b,neptune-like
Kepler-146 c,neptune-like
Kepler-1474 b,neptune-like
Kepler-1475 b,neptune-like
Kepler-147 c,neptune-like
Kepler-1484 b,neptune-like
Kepler-1486 b,neptune-like
Kepler-1487 b,neptune-like
HD 108236 e,neptune-like
HD 109271 b,neptune-like
HD 109271 c,neptune-like
HD 110082 b,neptune-like
HD 110113 b,neptune-like
HD 110113 c,neptune-like
HD 11964 c,neptune-like
HD 125595 b,neptune-like
HD 125612 c,neptune-like
HD 134060 b,neptune-like
HD 134060 c,neptune-like
HD 136352 c,neptune-like
HD 136352 d,neptune-like
HD 13808 b,neptune-like
HD 13808 c,neptune-like
HD 141004 b,neptune-like
HD 1461 b,neptune-like
HD 1461 c,neptune-like
HD 147379 b,neptune-like
HD 152843 b,neptune-like
HD 152843 c,neptune-like
HD 154088 b,neptune-like
HD 156668 c,neptune-like
HD 158259 c,neptune-like
HD 158259 d,neptune-like
HD 158259 e,neptune-like
HD 158259 f,neptune-like
HD 160691 d,neptune-like
HD 16417 b,neptune-like
HD 164595 b,neptune-like
HD 164922 c,neptune-like
HD 164922 e,neptune-like
HD 168009 b,neptune-like
HD 175607 b,neptune-like
HD 176986 b,neptune-like
HD 176986 c,neptune-like
HD 177565 b,neptune-like
HD 179079 b,neptune-like
HD 180617 b,neptune-like
HD 181433 b,neptune-like
HD 183579 b,neptune-like
HD 189567 b,neptune-like
HD 189567 c,neptune-like
HD 190007 b,neptune-like
HD 190360 c,neptune-like
HD 191939 b,neptune-like
HD 191939 c,neptune-like
HD 191939 d,neptune-like
HD 192310 b,neptune-like
Kepler-298 d,neptune-like
Kepler-299 c,neptune-like
Kepler-29 b,neptune-like
Kepler-29 c,neptune-like
Kepler-300 c,neptune-like
Kepler-302 b,neptune-like
Kepler-304 b,neptune-like
Kepler-304 c,neptune-like
Kepler-304 d,neptune-like
Kepler-305 b,neptune-like
Kepler-305 c,neptune-like
Kepler-305 d,neptune-like
Kepler-306 c,neptune-like
Kepler-306 d,neptune-like
Kepler-306 e,neptune-like
Kepler-307 b,neptune-like
Kepler-307 c,neptune-like
Kepler-308 b,neptune-like
Kepler-308 c,neptune-like
Kepler-309 c,neptune-like
